parameter,mean,q2.5,q97.5,Pr(beta > 0),Pr(beta < 0),odds_ratio_median,freq_estimate,freq_ci_lower,freq_ci_upper
tenure,-0.780749571620391,-0.8850262269001137,-0.6765543445485788,0.0,1.0,0.457819826460653,-0.7760734713622233,-0.8770352153075226,-0.6751117274169239
MonthlyCharges,0.3385005040387543,0.12563510388328097,0.5357640632075129,0.9994090909090909,0.0005909090909090909,1.4027669412040078,0.33066734188383695,0.1439954470560919,0.517339236711582
SeniorCitizen,0.25429458788433673,0.0924938758991461,0.41608591876721873,0.9989772727272728,0.0010227272727272728,1.2891794501344518,0.25017455234007197,0.09267900339657345,0.4076701012835705
Partner,0.009971166978304486,-0.14305724962115815,0.16034063565331289,0.5518181818181818,0.4481818181818182,1.01043499762513,0.012842819856260113,-0.13138051391175748,0.15706615362427773
Dependents,-0.18136113620572433,-0.3553651921363973,-0.006980921631968096,0.020431818181818183,0.9795681818181818,0.8348260358213448,-0.182826490712444,-0.35062969486938483,-0.015023286555503168
PaperlessBilling,0.37076678375201194,0.2233042043098009,0.5206169115375068,1.0,0.0,1.4473401027421704,0.3707766305842799,0.23541242866994605,0.5061408324986137
OnlineSecurity,-0.455235981862897,-0.6238673289115643,-0.29118532977355843,0.0,1.0,0.6348983419251911,-0.45418234465393004,-0.6172563225375907,-0.29110836677026936
TechSupport,-0.3951225438757578,-0.5679717683889184,-0.22194538223085242,0.0,1.0,0.673697216896638,-0.38745429677872906,-0.5561515241644597,-0.21875706939299847
InternetService_Fiber optic,0.4987448934498698,0.21995828141153606,0.7866179379518502,0.9998181818181818,0.0001818181818181818,1.648545011174435,0.505799799701804,0.24289568860526795,0.76870391079834
InternetService_No,-0.7650944348997959,-1.070884176007773,-0.4618336820928447,0.0,1.0,0.4648810014042144,-0.7666580322893934,-1.0575250046772382,-0.47579105990154874
PaymentMethod_Credit card (automatic),-0.07649058674784087,-0.2983861990342607,0.14883942977723824,0.24709090909090908,0.7529090909090909,0.925979313610014,-0.08211596796933436,-0.29503712345795036,0.1308051875192816
PaymentMethod_Electronic check,0.3680536488565421,0.18558438591752205,0.5508476697932805,0.9999772727272728,2.2727272727272726e-05,1.444883782174663,0.3584898306312492,0.18209057684471563,0.5348890844177827
PaymentMethod_Mailed check,-0.016541089233211157,-0.24116779106879246,0.20412770145397963,0.4378409090909091,0.5621590909090909,0.9824258318536634,-0.02441984813318391,-0.2376603370826449,0.18882064081627709
