chain_seed,iteration,accept_beta,accept_z_alpha,accept_mu_alpha,accept_tau_alpha,step_beta,step_z_alpha,step_mu_alpha,step_tau_alpha,chain
11.0,250.0,0.352,0.16,0.208,0.38,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,500.0,0.28,0.268,0.188,0.372,0.03585016112617175,0.1406358344872933,0.18878853879850663,0.2465654674745137,1
11.0,750.0,0.284,0.196,0.24,0.344,0.03542253011031272,0.13008314399801135,0.18048136769032283,0.25483787186656814,1
11.0,1000.0,0.292,0.224,0.252,0.24,0.035210631261892264,0.12287576634507298,0.17409959949702847,0.24362436378014535,1
11.0,1250.0,0.288,0.252,0.24,0.252,0.03489515734261805,0.11853091530907486,0.16643877870731044,0.23500987777651855,1
11.0,1500.0,0.256,0.16,0.208,0.156,0.0337624102719093,0.1067162897373559,0.15534175276716458,0.21095135172594662,1
11.0,1750.0,0.256,0.064,0.28,0.18,0.032666433802737066,0.08940475022125541,0.15302901536980093,0.19279501891746215,1
11.0,2000.0,0.276,0.1,0.232,0.2,0.03208369834716033,0.07695138164572449,0.14542020927850077,0.17886432299726562,1
11.0,2250.0,0.3,0.056,0.26,0.224,0.03208369834716033,0.06408266017453101,0.1411223925820104,0.16895417872447535,1
11.0,2500.0,0.32,0.06,0.312,0.172,0.0325685813533922,0.05352633711177722,0.14239822675716765,0.15348879173562682,1
11.0,2750.0,0.296,0.176,0.22,0.188,0.032471022021499346,0.0487728504709115,0.13410559960518809,0.14112239258201037,1
11.0,3000.0,0.276,0.164,0.264,0.264,0.031891772510364916,0.04404332529436038,0.1305331929270715,0.13736306725051048,1
11.0,3250.0,0.368,0.288,0.332,0.3,0.03356044232003695,0.04364871378214023,0.13370388567854788,0.13736306725051048,1
11.0,3500.0,0.236,0.216,0.296,0.204,0.031987591484492976,0.040983674940665495,0.13330337508778128,0.12782057801999241,1
11.0,3750.0,0.352,0.164,0.312,0.14,0.03325975346863493,0.037009469607412145,0.13450852048312995,0.11336668287893117,1
11.0,4000.0,0.308,0.204,0.264,0.196,0.03345991186415849,0.03443845490728282,0.13092538049306104,0.10486014881825384,1
