parameter,Pr(beta > 0),Pr(beta < 0),odds_ratio_median,odds_ratio_q2.5,odds_ratio_q97.5,direction_certainty
tenure,0.0,1.0,0.457819826460653,0.4127033492075931,0.5083656308476643,1.0
MonthlyCharges,0.9994090909090909,0.0005909090909090909,1.4027669412040078,1.1338683486297387,1.7087533391596224,0.9994090909090909
SeniorCitizen,0.9989772727272728,0.0010227272727272728,1.2891794501344518,1.0969064239741666,1.5160161175146494,0.9989772727272728
Partner,0.5518181818181818,0.4481818181818182,1.01043499762513,0.8667044489737818,1.173910678732522,0.5518181818181818
Dependents,0.020431818181818183,0.9795681818181818,0.8348260358213448,0.7009174269351104,0.9930433884009838,0.9795681818181818
PaperlessBilling,1.0,0.0,1.4473401027421704,1.250200832867046,1.6830656322071813,1.0
OnlineSecurity,0.0,1.0,0.6348983419251911,0.5358680471539902,0.747377153946917,1.0
TechSupport,0.0,1.0,0.673697216896638,0.5666736192848727,0.8009591098284249,1.0
InternetService_Fiber optic,0.9998181818181818,0.0001818181818181818,1.648545011174435,1.2460247471094092,2.195956990506835,0.9998181818181818
InternetService_No,0.0,1.0,0.4648810014042144,0.34270537155404257,0.6301271326531631,1.0
PaymentMethod_Credit card (automatic),0.24709090909090908,0.7529090909090909,0.925979313610014,0.7420147190371166,1.160486634688015,0.7529090909090909
PaymentMethod_Electronic check,0.9999772727272728,2.2727272727272726e-05,1.444883782174663,1.2039217895335361,1.734722867046821,0.9999772727272728
PaymentMethod_Mailed check,0.4378409090909091,0.5621590909090909,0.9824258318536634,0.7857097802435643,1.2264547635288587,0.5621590909090909
