parameter,mean,sd,q2.5,median,q97.5,ess_bulk_approx,rhat
tenure,-0.780749571620391,0.05349902019617776,-0.8850262269001137,-0.7812795642741951,-0.6765543445485788,1743.1331152691653,1.0000173707329654
MonthlyCharges,0.3385005040387543,0.10343369552465935,0.12563510388328097,0.33844667271307405,0.5357640632075129,270.4755126486206,1.002345889438549
SeniorCitizen,0.25429458788433673,0.08289826450349734,0.0924938758991461,0.25400593081725953,0.41608591876721873,1353.3049463350862,1.0010168195436941
Partner,0.009971166978304486,0.07737913959064784,-0.14305724962115815,0.010380928850492757,0.16034063565331289,1237.6169648414127,1.001524261213822
Dependents,-0.18136113620572433,0.08862550664341376,-0.3553651921363973,-0.1805319161708625,-0.006980921631968096,1082.2967427204553,1.0002981354671918
PaperlessBilling,0.37076678375201194,0.07490071182347244,0.2233042043098009,0.36972745993447487,0.5206169115375068,1248.5522695785876,1.002064935096543
OnlineSecurity,-0.455235981862897,0.08514033552135247,-0.6238673289115643,-0.4542903843618424,-0.29118532977355843,1091.688251881533,1.0029444907871758
TechSupport,-0.3951225438757578,0.08787679275073212,-0.5679717683889184,-0.39497450212525514,-0.22194538223085242,998.8823265219035,1.0000945910429528
InternetService_Fiber optic,0.4987448934498698,0.1442768365737162,0.21995828141153606,0.49989308747866085,0.7866179379518502,292.0722067330037,1.0021232203320758
InternetService_No,-0.7650944348997959,0.1585934313439167,-1.070884176007773,-0.7659738171045395,-0.4618336820928447,276.1568193774607,1.0018471447884596
PaymentMethod_Credit card (automatic),-0.07649058674784087,0.11415866554257247,-0.2983861990342607,-0.0769033840995122,0.14883942977723824,479.7305154857867,1.0016665465986023
PaymentMethod_Electronic check,0.3680536488565421,0.0940351775575765,0.18558438591752205,0.3680288907082003,0.5508476697932805,529.3775198392846,1.0021897441641887
PaymentMethod_Mailed check,-0.016541089233211157,0.11469397291534793,-0.24116779106879246,-0.017730427308307352,0.20412770145397963,479.3521738739453,1.0033008520873663
alpha[Month-to-month],-1.2940214521795093,0.13547408962744303,-1.5614667520090268,-1.291697128141651,-1.0335630469351227,481.68504162593155,1.0010373062592435
alpha[One year],-1.9536674387000987,0.14966887372892604,-2.2518339698579095,-1.9522711307718723,-1.6649494080242506,603.5796760675001,1.0014976254128503
alpha[Two year],-2.593479181967934,0.19854828272318154,-2.992127067201778,-2.5898297802154735,-2.2134900724077498,867.2016261939223,1.0016523618707234
mu_alpha,-2.0938320003983946,0.561196304358041,-3.547409716627694,-2.0348164130843407,-1.0882163344404792,62.58776802697959,1.0584148296973659
tau_alpha,1.0484810648105873,0.6023197248896943,0.36717123948345115,0.8849781133888741,2.5318651536886754,94.46600026360127,1.0037917599217743
