bin,n,observed_rate,predicted_rate
"(0.0038900000000000002, 0.016]",141,0.0070921985815602835,0.01018852245945302
"(0.016, 0.0354]",141,0.02127659574468085,0.02548504872478962
"(0.0354, 0.074]",140,0.07142857142857142,0.052612101738857095
"(0.074, 0.132]",141,0.09219858156028368,0.10257788353588183
"(0.132, 0.19]",141,0.16312056737588654,0.15914481284412485
"(0.19, 0.292]",140,0.22142857142857142,0.24168433963033326
"(0.292, 0.401]",141,0.375886524822695,0.34712219093237695
"(0.401, 0.539]",140,0.36428571428571427,0.4665510947344358
"(0.539, 0.658]",141,0.5531914893617021,0.6026260076756276
"(0.658, 0.834]",141,0.7872340425531915,0.733102348962554
