parameter,mean,sd,q2_5,q97_5,rhat_rank_split,ess_bulk_approx,ess_tail_approx
tenure,-0.7983030446485548,0.06292416390428651,-0.9251712490648679,-0.6773948013341616,1.0058655931823008,940.376020219294,1754.4248694596272
MonthlyCharges,0.3101910702957011,0.11080881667246323,0.09577250512683529,0.5285780414622183,1.007641817907405,790.8637660966571,1825.3932299119792
SeniorCitizen,0.2771087663113403,0.09380150202880867,0.08955014341265594,0.4590157457753071,1.0009391708345972,1294.3738985664038,2120.8112076270595
Partner,-0.0034328579979767,0.08773695891364082,-0.17526716155887417,0.1640138779858091,1.0040776937123785,1090.5691477002526,1985.081259721429
Dependents,-0.14462483429426268,0.1004559214209601,-0.33903505455956434,0.0532816322254735,1.0042721042562783,1019.4943786918092,1814.671355047349
PaperlessBilling,0.40021671525474556,0.08563713162614815,0.23359457891584792,0.570522048973039,1.0046158662311513,649.9340235529687,1446.502895541763
OnlineSecurity,-0.3781282761033682,0.09805326121550038,-0.5770673704783498,-0.18740093825809137,1.006880828991754,892.973970147868,1658.6519639864482
TechSupport,-0.4361057802460684,0.09585799065605805,-0.6232484830175843,-0.24845222282415597,1.0041236489830243,1006.1599921920931,2392.2481548952073
InternetService_Fiber optic,0.5080348269799142,0.15388595107009995,0.20576812556307794,0.8046527275379469,1.0084280053292405,804.5206550516649,1737.064862694653
InternetService_No,-0.7629385236010416,0.17266754829002104,-1.1016184895089596,-0.4274473396118736,1.0025171881536645,1134.0542518845311,2433.3389119876206
PaymentMethod_Credit card (automatic),-0.05113473956235452,0.12465556335047233,-0.2897287671970657,0.19110863758313387,1.0034460928791105,713.3379638776349,1797.8698125028764
PaymentMethod_Electronic check,0.38584796335519234,0.10360519506359367,0.17979969166670218,0.5922662100737563,1.0032437406563588,866.4050935078543,1870.9319821930355
PaymentMethod_Mailed check,-0.05935758322163062,0.12329039461907196,-0.3055900040557849,0.18119688465394398,1.0032353841816941,749.7937786120748,1357.457114019488
alpha[Month-to-month],-1.337584280145094,0.1482435510620608,-1.630093639450522,-1.0475883737266296,1.0075150953473235,366.4999094316437,849.6742792108174
alpha[One year],-1.9519627864201112,0.16489350287343196,-2.276216013921683,-1.6274835913903833,1.006000298882763,599.6835901176888,1257.067267467112
alpha[Two year],-2.649238284109281,0.22294596678559947,-3.0890686763307658,-2.210267453549022,1.004866875301008,858.6482461168281,1634.898261033475
mu_alpha,-1.9271248376613166,0.8525612162748667,-3.6035336092614214,-0.09070782298592103,1.0001946837599132,12702.005371040601,24536.754945930046
tau_alpha,1.261594911581045,0.8454098700149655,0.36650289919104684,3.5721647105200023,1.0004563738122985,8118.46913429412,10650.067591356728
