parameter,mean,sd,q2_5,q97_5,rhat_rank_split,ess_bulk_approx,ess_tail_approx,tau_prior_scale
alpha[Month-to-month],-1.337584280145094,0.1482435510620608,-1.630093639450522,-1.0475883737266296,1.0075150953473235,366.4999094316437,849.6742792108174,2.5
alpha[One year],-1.9519627864201112,0.16489350287343196,-2.276216013921683,-1.6274835913903833,1.006000298882763,599.6835901176888,1257.067267467112,2.5
alpha[Two year],-2.649238284109281,0.22294596678559947,-3.0890686763307658,-2.210267453549022,1.004866875301008,858.6482461168281,1634.898261033475,2.5
mu_alpha,-1.9271248376613166,0.8525612162748667,-3.6035336092614214,-0.09070782298592103,1.0001946837599132,12702.005371040601,24536.754945930046,2.5
tau_alpha,1.261594911581045,0.8454098700149655,0.36650289919104684,3.5721647105200023,1.0004563738122985,8118.46913429412,10650.067591356728,2.5
alpha[Month-to-month],-1.3438359987012332,0.14712806659495545,-1.6320545126055093,-1.0582354331885184,1.0137991804077993,406.1711966039422,1177.2868529233126,1.0
alpha[One year],-1.9511787909824343,0.16555468588846592,-2.2762278142695944,-1.6246187740249904,1.01021347143086,630.7261841769366,1459.258141228828,1.0
alpha[Two year],-2.6421716929902006,0.22176599515825782,-3.0843347171077418,-2.2208909210512595,1.0076632218762513,1002.5487447240213,2976.3792274856423,1.0
mu_alpha,-1.9568131936410216,0.5705432761244142,-3.1243588880269564,-0.7755778235259897,1.0014911490579372,6918.416460154562,27290.96053034,1.0
tau_alpha,0.870770525357056,0.4116208862936068,0.3402477325989205,1.905525352850441,1.0004193497387837,9991.59718164355,12443.421127262669,1.0
